t,value
1773145530,9223372036854775807
1773145560,9223372036854775807
1773145590,9223372036854775807
1773145620,9223372036854775807
1773145650,9223372036854775807
1773145680,9223372036854775807
1773145710,9223372036854775807
1773145740,9223372036854775807
1773145770,9223372036854775807
1773145800,9223372036854775807
1773145830,9223372036854775807
1773145860,9223372036854775807
1773145890,9223372036854775807
1773145920,9223372036854775807
1773145950,9223372036854775807
1773145980,9223372036854775807
1773146070,9223372036854775807
1773146100,9223372036854775807
1773146131,9223372036854775807
1773146161,9223372036854775807
1773146191,9223372036854775807
1773146221,9223372036854775807
1773146251,9223372036854775807
1773146281,9223372036854775807
1773146311,9223372036854775807
1773146341,9223372036854775807
1773146371,9223372036854775807
1773146401,9223372036854775807
1773146431,9223372036854775807
1773146461,9223372036854775807
1773146491,9223372036854775807
1773146521,9223372036854775807
1773146551,9223372036854775807
1773146581,9223372036854775807
1773146611,9223372036854775807
1773146641,9223372036854775807
1773146671,9223372036854775807
1773146701,9223372036854775807
1773146731,9223372036854775807
1773146761,9223372036854775807
1773146791,9223372036854775807
1773146821,9223372036854775807
1773146851,9223372036854775807
1773146881,9223372036854775807
1773146911,9223372036854775807
1773146941,9223372036854775807
1773146971,9223372036854775807
1773147001,9223372036854775807
1773147031,9223372036854775807
1773147061,9223372036854775807
1773147091,9223372036854775807
1773147121,9223372036854775807
1773147151,9223372036854775807
1773147181,9223372036854775807
1773147211,9223372036854775807
1773147241,9223372036854775807
1773147271,9223372036854775807
1773147301,9223372036854775807
1773147331,9223372036854775807
1773147361,9223372036854775807
1773147392,9223372036854775807
1773147422,9223372036854775807
1773147452,9223372036854775807
1773147482,9223372036854775807
1773147512,9223372036854775807
1773147542,9223372036854775807
1773147572,9223372036854775807
1773147602,9223372036854775807
1773147632,9223372036854775807
1773147662,9223372036854775807
1773147692,9223372036854775807
1773147722,9223372036854775807
1773147752,9223372036854775807
1773147782,9223372036854775807
1773147812,9223372036854775807
1773147842,9223372036854775807
1773147872,9223372036854775807
1773147902,9223372036854775807
1773147932,9223372036854775807
1773147962,9223372036854775807
1773147992,9223372036854775807
1773148022,9223372036854775807
1773148052,9223372036854775807
1773148082,9223372036854775807
1773148112,9223372036854775807
1773148142,9223372036854775807
1773148172,9223372036854775807
1773148202,9223372036854775807
1773148232,9223372036854775807
1773148262,9223372036854775807
1773148292,9223372036854775807
1773148322,9223372036854775807
1773148352,9223372036854775807
1773148382,9223372036854775807
1773148412,9223372036854775807
1773148442,9223372036854775807
1773148472,9223372036854775807
1773148502,9223372036854775807
1773148532,9223372036854775807
1773148562,9223372036854775807
1773148592,9223372036854775807
1773148622,9223372036854775807
1773148652,9223372036854775807
1773148682,9223372036854775807
1773148712,9223372036854775807
1773148742,9223372036854775807
1773148772,9223372036854775807
1773148802,9223372036854775807
1773148832,9223372036854775807
1773148862,9223372036854775807
1773148892,9223372036854775807
1773148922,9223372036854775807
1773148952,9223372036854775807
1773148982,9223372036854775807
1773149012,9223372036854775807
1773149042,9223372036854775807
1773149072,9223372036854775807
1773149102,9223372036854775807
1773149132,9223372036854775807
1773149162,9223372036854775807
1773149192,9223372036854775807
1773149222,9223372036854775807
1773149252,9223372036854775807
1773149282,9223372036854775807
1773149312,9223372036854775807
1773149342,9223372036854775807
1773149372,9223372036854775807
1773149402,9223372036854775807
1773149432,9223372036854775807
1773149462,9223372036854775807
1773149492,9223372036854775807
1773149522,9223372036854775807
1773149552,9223372036854775807
1773149582,9223372036854775807
1773149612,9223372036854775807
1773149642,9223372036854775807
1773149672,9223372036854775807
1773149702,9223372036854775807
1773149732,9223372036854775807
1773149762,9223372036854775807
1773149792,9223372036854775807
1773149822,9223372036854775807
1773149852,9223372036854775807
1773149882,9223372036854775807
1773149912,9223372036854775807
1773149942,9223372036854775807
1773149972,9223372036854775807
1773150002,9223372036854775807
1773150032,9223372036854775807
1773150062,9223372036854775807
1773150092,9223372036854775807
1773150122,9223372036854775807
1773150152,9223372036854775807
1773150182,9223372036854775807
1773150212,9223372036854775807
1773150242,9223372036854775807
1773150272,9223372036854775807
1773150302,9223372036854775807
1773150333,9223372036854775807
1773150363,9223372036854775807
1773150393,9223372036854775807
1773150423,9223372036854775807
1773150453,9223372036854775807
1773150483,9223372036854775807
1773150513,9223372036854775807
1773150543,9223372036854775807
1773150573,9223372036854775807
1773150603,9223372036854775807
1773150633,9223372036854775807
1773150663,9223372036854775807
1773150693,9223372036854775807
1773150723,9223372036854775807
1773150753,9223372036854775807
1773150783,9223372036854775807
1773150813,9223372036854775807
1773150843,9223372036854775807
1773150873,9223372036854775807
1773150903,9223372036854775807
1773150933,9223372036854775807
1773150963,9223372036854775807
1773150993,9223372036854775807
1773151023,9223372036854775807
1773151053,9223372036854775807
1773151083,9223372036854775807
1773151113,9223372036854775807
1773151143,9223372036854775807
1773151173,9223372036854775807
1773151203,9223372036854775807
1773151233,9223372036854775807
1773151263,9223372036854775807
1773151293,9223372036854775807
1773151323,9223372036854775807
1773151353,9223372036854775807
1773151383,9223372036854775807
1773151413,9223372036854775807
1773151443,9223372036854775807
1773151473,9223372036854775807
1773151503,9223372036854775807
1773151533,9223372036854775807
1773151563,9223372036854775807
1773151593,9223372036854775807
1773151623,9223372036854775807
1773151653,9223372036854775807
1773151683,9223372036854775807
1773151713,9223372036854775807
1773151743,9223372036854775807
1773151773,9223372036854775807
1773151803,9223372036854775807
1773151833,9223372036854775807
1773151863,9223372036854775807
1773151893,9223372036854775807
1773151923,9223372036854775807
1773151953,9223372036854775807
1773151983,9223372036854775807
1773152013,9223372036854775807
1773152043,9223372036854775807
1773152073,9223372036854775807
1773152103,9223372036854775807
1773152133,9223372036854775807
1773152163,9223372036854775807
1773152193,9223372036854775807
1773152223,9223372036854775807
1773152253,9223372036854775807
1773152283,9223372036854775807
1773152313,9223372036854775807
1773152343,9223372036854775807
1773152373,9223372036854775807
1773152403,9223372036854775807
1773152433,9223372036854775807
1773152463,9223372036854775807
1773152493,9223372036854775807
1773152523,9223372036854775807
1773152553,9223372036854775807
1773152583,9223372036854775807
1773152613,9223372036854775807
1773152643,9223372036854775807
1773152673,9223372036854775807
1773152703,9223372036854775807
1773152733,9223372036854775807
1773152763,9223372036854775807
1773152793,9223372036854775807
1773152823,9223372036854775807
1773152853,9223372036854775807
1773152883,9223372036854775807
1773152913,9223372036854775807
1773206880,9223372036854775807
1773206912,9223372036854775807
1773206942,9223372036854775807
1773206972,9223372036854775807
1773207002,9223372036854775807
1773207032,9223372036854775807
1773207062,9223372036854775807
1773207092,9223372036854775807
1773207122,9223372036854775807
1773207152,9223372036854775807
1773207182,9223372036854775807
1773207212,9223372036854775807
1773207242,9223372036854775807
1773207272,9223372036854775807
1773207302,9223372036854775807
1773207332,9223372036854775807
1773207362,9223372036854775807
1773207392,9223372036854775807
1773207422,9223372036854775807
1773207452,9223372036854775807
1773207482,9223372036854775807
1773207512,9223372036854775807
1773207542,9223372036854775807
1773207572,9223372036854775807
1773207602,9223372036854775807
1773207632,9223372036854775807
1773207662,9223372036854775807
1773207693,9223372036854775807
1773207723,9223372036854775807
1773207753,9223372036854775807
1773207783,9223372036854775807
1773207813,9223372036854775807
1773207843,9223372036854775807
1773207873,9223372036854775807
1773207903,9223372036854775807
1773207933,9223372036854775807
1773207963,9223372036854775807
1773207993,9223372036854775807
1773208023,9223372036854775807
1773208053,9223372036854775807
1773208083,9223372036854775807
1773208113,9223372036854775807
1773208143,9223372036854775807
1773208173,9223372036854775807
1773208203,9223372036854775807
1773211140,9223372036854775807
1773211173,9223372036854775807
1773211203,9223372036854775807
1773211233,9223372036854775807
1773211263,9223372036854775807
1773211293,9223372036854775807
1773211323,9223372036854775807
1773211353,9223372036854775807
1773211383,9223372036854775807
1773211413,9223372036854775807
1773211443,9223372036854775807
1773211473,9223372036854775807
1773211503,9223372036854775807
1773211533,9223372036854775807
1773211563,9223372036854775807
1773211593,9223372036854775807
1773211623,9223372036854775807
1773211653,9223372036854775807
1773211683,9223372036854775807
1773211713,9223372036854775807
1773211743,9223372036854775807
1773211773,9223372036854775807
1773211803,9223372036854775807
1773211833,9223372036854775807
1773211863,9223372036854775807
1773211893,9223372036854775807
1773211923,9223372036854775807
1773211953,9223372036854775807
1773211983,9223372036854775807
1773212013,9223372036854775807
1773212043,9223372036854775807
